2023-01-15 05:11:14 status half-installed coreutils:armhf 8.32-4
2023-01-15 05:11:15 status unpacked coreutils:armhf 8.32-4
2023-01-15 05:11:15 install dash:armhf <none> 0.5.11+git20200708+dd9ef66-5
2023-01-15 05:11:15 status half-installed dash:armhf 0.5.11+git20200708+dd9ef66-5
2023-01-15 05:11:16 status unpacked dash:armhf 0.5.11+git20200708+dd9ef66-5
2023-01-15 05:11:16 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.8
2023-01-15 05:11:16 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.8
2023-01-15 05:11:16 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.8
2023-01-15 05:11:16 upgrade debconf:all 1.5.77 1.5.77
2023-01-15 05:11:16 status half-configured debconf:all 1.5.77
2023-01-15 05:11:16 status unpacked debconf:all 1.5.77
2023-01-15 05:11:16 status half-installed debconf:all 1.5.77
2023-01-15 05:11:16 status unpacked debconf:all 1.5.77
2023-01-15 05:11:17 install debian-archive-keyring:all <none> 2021.1.1
2023-01-15 05:11:17 status half-installed debian-archive-keyring:all 2021.1.1
2023-01-15 05:11:17 status unpacked debian-archive-keyring:all 2021.1.1
2023-01-15 05:11:17 install debianutils:armhf <none> 4.11.2
2023-01-15 05:11:17 status half-installed debianutils:armhf 4.11.2
2023-01-15 05:11:17 status unpacked debianutils:armhf 4.11.2
2023-01-15 05:11:17 install diffutils:armhf <none> 1:3.7-5
2023-01-15 05:11:17 status half-installed diffutils:armhf 1:3.7-5
2023-01-15 05:11:17 status unpacked diffutils:armhf 1:3.7-5
2023-01-15 05:11:18 upgrade dpkg:armhf 1.20.12 1.20.12
2023-01-15 05:11:18 status half-configured dpkg:armhf 1.20.12
2023-01-15 05:11:18 status unpacked dpkg:armhf 1.20.12
2023-01-15 05:11:18 status half-installed dpkg:armhf 1.20.12
2023-01-15 05:11:18 status unpacked dpkg:armhf 1.20.12
2023-01-15 05:11:18 install e2fsprogs:armhf <none> 1.46.2-2
2023-01-15 05:11:18 status half-installed e2fsprogs:armhf 1.46.2-2
2023-01-15 05:11:19 status unpacked e2fsprogs:armhf 1.46.2-2
2023-01-15 05:11:19 install libcom-err2:armhf <none> 1.46.2-2
2023-01-15 05:11:19 status half-installed libcom-err2:armhf 1.46.2-2
2023-01-15 05:11:19 status unpacked libcom-err2:armhf 1.46.2-2
2023-01-15 05:11:19 install libext2fs2:armhf <none> 1.46.2-2
2023-01-15 05:11:19 status half-installed libext2fs2:armhf 1.46.2-2
2023-01-15 05:11:19 status unpacked libext2fs2:armhf 1.46.2-2
2023-01-15 05:11:19 install libss2:armhf <none> 1.46.2-2
2023-01-15 05:11:19 status half-installed libss2:armhf 1.46.2-2
2023-01-15 05:11:20 status unpacked libss2:armhf 1.46.2-2
2023-01-15 05:11:20 install logsave:armhf <none> 1.46.2-2
2023-01-15 05:11:20 status half-installed logsave:armhf 1.46.2-2
2023-01-15 05:11:20 status unpacked logsave:armhf 1.46.2-2
2023-01-15 05:11:20 install findutils:armhf <none> 4.8.0-1
2023-01-15 05:11:20 status half-installed findutils:armhf 4.8.0-1
2023-01-15 05:11:20 status unpacked findutils:armhf 4.8.0-1
2023-01-15 05:11:21 install gcc-10-base:armhf <none> 10.2.1-6
2023-01-15 05:11:21 status half-installed gcc-10-base:armhf 10.2.1-6
2023-01-15 05:11:21 status unpacked gcc-10-base:armhf 10.2.1-6
2023-01-15 05:11:21 install libgcc-s1:armhf <none> 10.2.1-6
2023-01-15 05:11:21 status half-installed libgcc-s1:armhf 10.2.1-6
2023-01-15 05:11:21 status unpacked libgcc-s1:armhf 10.2.1-6
2023-01-15 05:11:21 install libstdc++6:armhf <none> 10.2.1-6
2023-01-15 05:11:21 status half-installed libstdc++6:armhf 10.2.1-6
2023-01-15 05:11:22 status unpacked libstdc++6:armhf 10.2.1-6
2023-01-15 05:11:22 install gcc-9-base:armhf <none> 9.3.0-22
2023-01-15 05:11:22 status half-installed gcc-9-base:armhf 9.3.0-22
2023-01-15 05:11:22 status unpacked gcc-9-base:armhf 9.3.0-22
2023-01-15 05:11:22 install libc-bin:armhf <none> 2.31-13+deb11u5
2023-01-15 05:11:22 status half-installed libc-bin:armhf 2.31-13+deb11u5
2023-01-15 05:11:23 status unpacked libc-bin:armhf 2.31-13+deb11u5
2023-01-15 05:11:23 upgrade libc6:armhf 2.31-13+deb11u5 2.31-13+deb11u5
2023-01-15 05:11:23 status half-configured libc6:armhf 2.31-13+deb11u5
2023-01-15 05:11:23 status unpacked libc6:armhf 2.31-13+deb11u5
2023-01-15 05:11:23 status half-installed libc6:armhf 2.31-13+deb11u5
2023-01-15 05:11:26 status unpacked libc6:armhf 2.31-13+deb11u5
2023-01-15 05:11:26 install libgmp10:armhf <none> 2:6.2.1+dfsg-1+deb11u1
2023-01-15 05:11:26 status half-installed libgmp10:armhf 2:6.2.1+dfsg-1+deb11u1
2023-01-15 05:11:26 status unpacked libgmp10:armhf 2:6.2.1+dfsg-1+deb11u1
2023-01-15 05:11:26 install gpgv:armhf <none> 2.2.27-2+deb11u2
2023-01-15 05:11:26 status half-installed gpgv:armhf 2.2.27-2+deb11u2
2023-01-15 05:11:27 status unpacked gpgv:armhf 2.2.27-2+deb11u2
2023-01-15 05:11:27 install libgnutls30:armhf <none> 3.7.1-5+deb11u2
2023-01-15 05:11:27 status half-installed libgnutls30:armhf 3.7.1-5+deb11u2
2023-01-15 05:11:28 status unpacked libgnutls30:armhf 3.7.1-5+deb11u2
2023-01-15 05:11:28 install grep:armhf <none> 3.6-1
2023-01-15 05:11:28 status half-installed grep:armhf 3.6-1
2023-01-15 05:11:28 status unpacked grep:armhf 3.6-1
2023-01-15 05:11:28 install gzip:armhf <none> 1.10-4+deb11u1
2023-01-15 05:11:28 status half-installed gzip:armhf 1.10-4+deb11u1
2023-01-15 05:11:28 status unpacked gzip:armhf 1.10-4+deb11u1
2023-01-15 05:11:28 install hostname:armhf <none> 3.23
2023-01-15 05:11:28 status half-installed hostname:armhf 3.23
2023-01-15 05:11:28 status unpacked hostname:armhf 3.23
2023-01-15 05:11:29 install init-system-helpers:all <none> 1.60
2023-01-15 05:11:29 status half-installed init-system-helpers:all 1.60
2023-01-15 05:11:29 status unpacked init-system-helpers:all 1.60
2023-01-15 05:11:29 install libkeyutils1:armhf <none> 1.6.1-2
2023-01-15 05:11:29 status half-installed libkeyutils1:armhf 1.6.1-2
2023-01-15 05:11:29 status unpacked libkeyutils1:armhf 1.6.1-2
2023-01-15 05:11:29 install libgssapi-krb5-2:armhf <none> 1.18.3-6+deb11u3
2023-01-15 05:11:29 status half-installed libgssapi-krb5-2:armhf 1.18.3-6+deb11u3
2023-01-15 05:11:29 status unpacked libgssapi-krb5-2:armhf 1.18.3-6+deb11u3
2023-01-15 05:11:31 install libk5crypto3:armhf <none> 1.18.3-6+deb11u3
2023-01-15 05:11:31 status half-installed libk5crypto3:armhf 1.18.3-6+deb11u3
2023-01-15 05:11:31 status unpacked libk5crypto3:armhf 1.18.3-6+deb11u3
2023-01-15 05:11:32 install libkrb5-3:armhf <none> 1.18.3-6+deb11u3
2023-01-15 05:11:32 status half-installed libkrb5-3:armhf 1.18.3-6+deb11u3
2023-01-15 05:11:32 status unpacked libkrb5-3:armhf 1.18.3-6+deb11u3
2023-01-15 05:11:32 install libkrb5support0:armhf <none> 1.18.3-6+deb11u3
2023-01-15 05:11:32 status half-installed libkrb5support0:armhf 1.18.3-6+deb11u3
